"","hhmm","LocationNumber","MeterIdentifier","Uom","mean","median","min","max","total","std","scaled_mean","n","scaled_value_max","scaled_value_sd"
"28","07:00",11280,200065,"KWH",0.252693548387097,0.199,0.108,0.7705,7.8335,0.165669735589584,0.0867170721987292,31,0.00149472550314661,1.52528491391511
"29","07:15",11280,200065,"KWH",0.201096774193548,0.1845,0.0805,0.3845,6.234,0.071776089258522,0.0690105608076693,31,0.00118952177016863,2.8017237532856
"30","07:30",11280,200065,"KWH",0.232129032258065,0.191,0.081,0.8105,7.196,0.156200190340363,0.0796599287090132,31,0.00137308287746767,1.48609954797271
"31","07:45",11280,200065,"KWH",0.209887096774194,0.2,0.1045,0.469,6.5065,0.0907875459224648,0.0720271437111165,31,0.00124151802977257,2.31184899472273
"32","08:00",11280,200065,"KWH",0.229693548387097,0.1855,0.0865,0.7165,7.1205,0.138164254748913,0.0788241415192508,31,0.00135867657434805,1.6624672481643
"33","08:15",11280,200065,"KWH",0.253370967741935,0.186,0.076,1.474,7.8545,0.251226888414369,0.0869495428078021,31,0.00149873255434545,1.0085344341169
"34","08:30",11280,200065,"KWH",0.260354838709677,0.168,0.0915,1.436,8.071,0.262401765541202,0.0893462040870547,31,0.00154004334408582,0.992199264256845
"35","08:45",11280,200065,"KWH",0.242887096774194,0.18,0.096,1.6665,7.5295,0.275426993039215,0.0833517833816725,31,0.00143671866674442,0.881856546063413
"36","09:00",11280,200065,"KWH",0.226758064516129,0.1915,0.0765,0.6515,7.0295,0.129686408370843,0.0778167688799345,31,0.00134131268581976,1.74851063704152
"37","09:15",11280,200065,"KWH",0.258274193548387,0.1795,0.0775,1.3195,8.0065,0.238467672117546,0.0886321872163305,31,0.00152773597254654,1.08305746961407
"38","09:30",11280,200065,"KWH",0.259645161290323,0.2005,0.0995,1.309,8.049,0.234199957071886,0.0891026634489782,31,0.00153584548092514,1.10864734791829
"39","09:45",11280,200065,"KWH",0.238693548387097,0.208,0.0915,0.895,7.3995,0.151430989641011,0.0819126796112206,31,0.00141191311170401,1.57625297802619
"40","10:00",11280,200065,"KWH",0.236451612903226,0.199,0.0765,0.731,7.33,0.150784136811465,0.081143312595479,31,0.00139865168035548,1.56814647683315
"41","10:15",11280,200065,"KWH",0.296806451612903,0.1765,0.0845,1.3335,9.201,0.294622178318248,0.101855336860983,31,0.00175566086097555,1.007413811503
"42","10:30",11280,200065,"KWH",0.431806451612903,0.248,0.092,1.5465,13.386,0.422917716138324,0.14818340824053,31,0.00255420892131493,1.02101764748884
"43","10:45",11280,200065,"KWH",0.337629032258065,0.217,0.081,1.552,10.4665,0.314823071151134,0.115864458564881,31,0.00199713339869586,1.07244056486566
"44","11:00",11280,200065,"KWH",0.305112903225806,0.2015,0.104,1.5945,9.4585,0.33151286324157,0.104705869329378,31,0.00180479494115175,0.920365201646713
"45","11:15",11280,200065,"KWH",0.408548387096774,0.243,0.094,1.6165,12.665,0.37354123723356,0.140201917329023,31,0.00241663349682158,1.09371696180715
"46","11:30",11280,200065,"KWH",0.548032258064516,0.28,0.115,2.273,16.989,0.596649309833449,0.188068722740054,31,0.00324170441985801,0.918516537323232
"47","11:45",11280,200065,"KWH",0.578612903225806,0.3325,0.153,2.0995,17.937,0.517550910695064,0.198563110235349,31,0.00342259415969116,1.11798258155654
"48","12:00",11280,200065,"KWH",0.556387096774194,0.3445,0.104,2.369,17.248,0.534383331664911,0.190935860251954,31,0.00329112471797699,1.0411759944696
"49","12:15",11280,200065,"KWH",0.588209677419355,0.318,0.132,2.914,18.2345,0.567336860166185,0.201856443863883,31,0.00347936071834134,1.03679087103041
"50","12:30",11280,200065,"KWH",0.459903225806452,0.352,0.117,2.225,14.257,0.388189095230551,0.157825403502557,31,0.00272040614008569,1.18474019867381
"51","12:45",11280,200065,"KWH",0.538145161290323,0.4195,0.1425,2.127,16.6825,0.42714143234508,0.184675758850488,31,0.0031832205535512,1.25987581756191
"52","13:00",11280,200065,"KWH",0.4645,0.2995,0.1835,2.1695,14.3995,0.403083159327369,0.159402882635552,31,0.00274759684464921,1.15236766719582
"53","13:15",11280,200065,"KWH",0.444693548387097,0.3155,0.167,1.8445,13.7855,0.366370160662213,0.152605884827418,31,0.00263043830007373,1.21378211474241
"54","13:30",11280,200065,"KWH",0.465048387096774,0.298,0.1665,1.776,14.4165,0.374631849394369,0.159591073128612,31,0.00275084064800065,1.24134770668477
"55","13:45",11280,200065,"KWH",0.404064516129032,0.337,0.175,0.859,12.526,0.207012750892929,0.13866318329754,31,0.00239011063412452,1.95188226032522
"56","14:00",11280,200065,"KWH",0.484306451612903,0.323,0.18,1.841,15.0135,0.438923430631117,0.166199880443687,31,0.00286475538922469,1.10339621404246
"57","14:15",11280,200065,"KWH",0.501322580645161,0.3245,0.196,1.4575,15.541,0.397479067549204,0.17203932074302,31,0.00296540869910021,1.26125530015012
"58","14:30",11280,200065,"KWH",0.483725806451613,0.34,0.206,1.5725,14.9955,0.347901131518465,0.166000619921624,31,0.0028613207739114,1.39041170789046
"59","14:45",11280,200065,"KWH",0.518532258064516,0.342,0.1835,1.96,16.0745,0.425536718656253,0.177945181216375,31,0.00306720688074682,1.21853705057914
"60","15:00",11280,200065,"KWH",0.455483870967742,0.3555,0.1705,1.3655,14.12,0.283031844023217,0.156308809529081,31,0.00269426490131233,1.60930255936282
"61","15:15",11280,200065,"KWH",0.403032258064516,0.306,0.156,1.531,12.494,0.270939044051236,0.138308942369429,31,0.00238400465134534,1.48753849588507
"62","15:30",11280,200065,"KWH",0.419983870967742,0.29,0.17,1.441,13.0195,0.280094522256058,0.144126242610756,31,0.00248427633729716,1.49943621740592
"63","15:45",11280,200065,"KWH",0.428387096774194,0.2985,0.1825,2.0565,13.28,0.345669874053203,0.147009985166161,31,0.0025339828533589,1.23929543454591
